Max_Phase,Polar Surface Area,HBA,HBD,#RO5 Violations,QED Weighted,CX LogP,CX LogD,Heavy Atoms
0,66.81,4,1,0,0.47,3.94,3.94,32
0,62.55,3,1,0,0.93,3.38,3.38,25
0,73.86,5,1,2,0.12,9.34,9.34,40
0,84.22,4,2,0,0.76,2.01,-0.19,26
0,40.46,4,0,0,0.62,4.0,4.0,26
0,29.54,2,0,0,0.8,4.33,4.33,22
0,102.01,6,1,0,0.63,2.6,2.6,31
0,64.68,4,2,0,0.38,-1.9,-2.64,18
0,88.41,5,2,0,0.71,1.51,1.51,24
0,62.97,6,2,0,0.76,2.51,2.24,24
0,35.53,3,0,0,0.77,3.98,3.98,21
0,72.64,5,0,0,0.75,1.78,1.78,22
0,60.25,5,0,0,0.85,1.43,1.43,25
0,51.97,6,1,1,0.3,6.08,6.05,33
0,122.04,8,1,1,0.44,2.84,2.84,40
0,77.21,7,1,0,0.58,2.44,2.07,32
0,125.12,6,2,2,0.13,6.59,6.55,52
0,55.84,5,0,0,0.47,3.01,3.01,20
0,73.34,5,1,0,0.75,2.28,2.28,27
0,293.57,13,8,3,0.1,-5.01,-14.43,37
0,81.4,5,1,1,0.39,5.71,2.58,30
0,61.1,4,1,0,0.71,3.0,3.0,28
0,72.24,3,1,0,0.67,4.3,4.3,21
0,60.93,4,0,1,0.59,4.07,4.04,31
0,86.09,4,1,0,0.84,-0.07,-0.07,20
0,73.54,7,0,0,0.42,5.06,5.06,35
0,99.6,10,1,2,0.27,4.82,4.82,37
0,73.22,5,1,0,0.79,2.77,2.77,25
0,50.27,4,0,1,0.6,5.5,5.5,29
0,79.2,5,1,0,0.86,2.48,-0.53,25
0,70.71,4,1,0,0.82,1.2,1.2,18
0,113.18,5,3,0,0.65,2.21,2.2,27
0,75.63,4,2,0,0.29,3.61,3.59,24
0,83.45,7,1,0,0.76,2.75,2.75,26
0,58.56,5,0,0,0.86,0.88,0.83,25
0,74.66,8,0,2,0.25,5.05,4.22,40
0,111.05,6,5,0,0.29,2.16,0.91,29
0,99.32,9,0,0,0.52,0.59,0.59,26
0,58.97,5,0,0,0.86,2.15,2.15,22
0,61.94,8,0,0,0.29,4.19,4.19,30
0,50.41,3,2,0,0.88,1.52,-2.56,19
0,140.05,11,2,3,0.1,7.3,7.29,59
0,76.38,3,3,0,0.8,2.22,0.37,21
0,56.57,4,0,0,0.55,0.6,0.6,14
0,169.05,10,4,2,0.21,4.17,1.46,51
0,66.48,3,1,0,0.88,3.57,3.57,26
0,232.07,9,7,2,0.05,4.93,4.93,67
0,84.86,5,2,0,0.61,4.23,4.23,30
0,52.57,5,0,0,0.68,4.57,4.57,28
0,74.68,4,1,0,0.92,1.93,-1.38,22
0,31.92,2,1,0,0.92,2.71,1.61,20
0,50.95,5,1,1,0.52,4.97,4.97,24
0,0.0,0,0,0,0.0,0.0,0.0,0
0,80.02,7,0,0,0.42,4.13,4.13,33
0,160.72,9,3,1,0.18,3.47,0.57,42
0,70.42,4,2,2,0.23,6.97,5.3,41
0,331.06,11,11,3,0.02,-1.12,-2.79,61
0,107.86,5,3,0,0.51,0.16,-0.48,18
0,83.83,3,2,0,0.5,2.48,-0.28,20
0,38.77,5,0,0,0.41,5.0,5.0,26
0,51.46,3,1,0,0.9,2.65,-0.75,19
0,47.61,3,2,0,0.85,3.68,3.23,27
0,67.76,4,1,1,0.52,5.11,4.56,26
0,62.3,3,1,2,0.31,6.11,6.11,38
0,87.2,5,2,0,0.46,2.27,2.27,31
0,50.36,2,2,0,0.84,4.44,4.44,21
0,95.91,5,1,0,0.8,1.69,1.69,28
0,39.72,4,1,0,0.6,5.25,3.74,28
0,31.92,2,1,0,0.88,2.82,1.88,17
0,74.89,2,3,0,0.36,4.35,1.95,26
0,118.34,9,0,0,0.34,3.72,3.72,30
0,54.9,6,0,0,0.84,0.21,-0.33,23
0,111.28,8,2,0,0.41,2.22,2.22,32
0,47.78,4,0,0,0.57,3.29,3.29,23
0,77.98,6,1,0,0.57,3.43,3.43,23
0,93.31,6,2,1,0.5,4.85,4.84,34
0,122.08,7,3,1,0.25,5.52,5.52,34
0,96.02,5,1,1,0.37,2.53,2.53,40
0,48.39,4,2,0,0.81,2.03,-1.66,25
0,62.3,5,1,0,0.9,0.39,-0.27,20
0,111.39,8,3,1,0.24,4.83,4.83,36
0,0.0,0,0,2,0.06,3.56,3.56,37
0,83.83,3,2,2,0.23,9.29,3.67,39
0,118.85,6,1,0,0.49,1.95,1.95,25
0,66.48,3,1,0,0.91,2.23,2.23,24
0,84.58,4,3,0,0.69,1.9,1.61,23
0,135.88,7,3,0,0.58,3.02,2.97,28
0,113.35,7,2,0,0.24,5.01,5.01,33
0,75.43,3,2,0,0.75,0.79,-0.02,19
0,57.23,6,0,0,0.62,3.7,3.28,30
0,123.15,8,2,0,0.68,1.25,0.97,23
0,148.35,7,6,1,0.29,-1.63,-1.63,27
0,63.68,4,0,1,0.57,6.14,6.14,31
0,75.11,4,2,2,0.4,6.96,4.6,38
0,78.61,7,0,0,0.53,2.53,2.53,29
0,100.54,8,1,2,0.16,6.15,6.14,35
0,79.73,5,1,2,0.31,6.15,2.92,36
0,81.77,7,1,0,0.62,1.16,1.16,24
0,34.89,3,0,1,0.49,5.74,5.74,28
0,49.33,2,2,0,0.75,3.89,3.89,21
0,66.48,3,3,0,0.54,0.29,-1.16,11
0,84.15,6,1,0,0.92,0.88,0.88,25
0,36.86,3,2,0,0.33,4.1,4.14,23
0,110.34,6,2,0,0.53,4.19,2.73,28
0,95.57,5,3,0,0.35,4.95,4.93,34
0,38.77,4,0,0,0.59,5.07,3.32,33
0,41.15,3,1,0,0.56,4.21,2.33,25
0,38.66,3,0,1,0.29,6.52,6.52,22
0,71.45,4,2,0,0.76,3.41,3.4,24
0,61.82,6,0,0,0.76,1.43,1.43,19
0,97.43,5,2,0,0.52,1.9,1.78,34
0,50.7,4,1,0,0.8,2.85,2.84,21
0,86.63,2,3,0,0.55,1.49,-0.87,18
0,65.12,4,3,0,0.49,2.99,1.92,25
0,65.38,6,1,0,0.79,3.19,3.17,24
0,52.31,5,0,0,0.53,3.19,3.19,24
0,52.52,5,1,0,0.42,4.78,4.78,29
0,91.42,5,1,0,0.6,2.94,2.92,32
0,39.72,4,1,0,0.6,4.45,4.45,22
0,132.16,7,2,0,0.43,1.19,1.19,29
0,67.2,4,2,1,0.28,5.93,5.93,23
0,75.02,6,1,0,0.74,1.64,1.62,27
0,98.09,8,1,0,0.74,1.61,1.61,21
0,23.55,4,0,0,0.62,4.15,4.15,22
0,116.39,6,2,0,0.66,1.23,1.23,26
0,35.58,2,1,0,0.9,2.59,0.76,21
0,93.33,5,1,1,0.29,6.41,3.13,30
0,107.29,7,2,0,0.49,4.87,4.87,30
0,192.44,12,6,2,0.15,-0.2,-2.68,32
0,61.8,3,2,0,0.58,2.81,2.8,15
0,84.33,4,2,0,0.49,3.07,3.07,29
0,80.0,6,2,0,0.82,3.86,3.08,25
0,258.51,11,9,3,0.08,-1.71,-1.96,47
0,80.32,4,2,0,0.74,2.78,2.78,26
0,92.79,6,2,0,0.48,3.78,3.78,28
0,84.5,4,2,0,0.81,1.8,1.8,23
0,98.02,6,2,0,0.42,2.89,2.88,36
0,22.0,3,0,0,0.77,3.67,3.67,17
0,180.52,9,3,1,0.4,2.4,1.46,53
0,64.85,5,0,0,0.48,4.65,4.65,27
0,85.23,4,2,0,0.77,2.63,1.15,32
0,68.01,3,2,0,0.72,3.52,3.22,24
0,87.13,3,3,0,0.38,4.27,4.27,32
0,55.73,4,1,0,0.76,2.75,2.75,25
0,127.16,8,3,0,0.56,2.26,2.25,21
0,110.57,6,2,1,0.33,5.63,5.63,29
0,148.09,9,3,2,0.17,4.76,4.23,44
0,47.56,3,1,0,0.93,2.0,2.0,21
0,83.98,6,2,0,0.67,2.53,2.53,25
0,114.27,8,2,0,0.52,1.8,1.8,34
0,69.56,3,3,0,0.67,3.97,3.97,25
0,97.05,5,1,0,0.82,2.1,-1.32,26
0,65.44,5,1,1,0.43,4.72,4.71,31
0,60.69,3,3,0,0.72,2.38,2.38,16
0,51.77,7,0,0,0.74,1.16,1.1,22
0,130.77,7,4,2,0.12,5.75,5.75,51
0,54.21,6,0,0,0.69,3.44,3.44,27
0,218.7,14,2,2,0.16,2.29,2.29,51
0,177.96,14,2,3,0.09,8.81,7.93,65
0,75.51,5,1,0,0.65,2.33,2.32,22
0,78.85,6,1,0,0.59,3.55,3.55,26
0,53.06,5,0,1,0.58,3.77,3.77,26
0,111.33,6,1,1,0.48,2.9,2.9,40
0,54.02,3,2,0,0.63,3.32,3.32,24
0,71.05,8,0,0,0.5,2.55,2.55,30
0,129.03,6,3,2,0.38,5.24,5.24,36
0,154.15,12,3,3,0.21,5.65,5.64,43
0,95.13,5,2,0,0.69,4.69,4.69,27
0,106.94,4,3,0,0.67,1.04,-2.58,28
0,165.92,8,4,1,0.13,3.46,3.46,43
0,67.75,5,1,0,0.77,3.21,3.19,19
0,137.59,5,4,1,0.22,4.78,1.37,38
0,104.94,8,1,0,0.4,3.9,3.88,34
0,89.35,7,1,0,0.54,1.91,0.75,31
0,89.51,3,2,0,0.76,0.4,-1.5,17
0,135.97,8,2,0,0.61,2.14,2.14,30
0,144.71,7,2,0,0.47,1.65,1.26,29
0,105.2,8,0,2,0.17,5.26,5.26,46
0,58.2,2,2,0,0.82,2.29,2.27,20
0,40.16,6,0,2,0.27,6.42,5.69,36
0,99.32,5,2,0,0.67,1.9,1.34,20
0,91.56,7,1,0,0.61,1.86,1.86,30
0,35.64,4,0,0,0.5,2.3,2.29,19
0,74.34,7,1,1,0.37,4.36,4.35,32
0,80.32,5,2,0,0.82,2.88,2.76,28
0,64.11,4,1,0,0.7,3.8,3.8,30
0,146.14,9,4,1,0.29,1.93,1.93,40
0,39.68,6,0,1,0.33,5.08,4.3,33
0,27.05,4,0,1,0.3,6.92,6.92,31
0,74.93,5,2,0,0.83,-1.55,-1.8,23
0,31.58,1,2,1,0.32,6.64,6.64,29
0,176.74,8,4,1,0.25,3.56,3.56,39
0,70.67,4,2,0,0.47,3.18,3.02,32
0,223.7,12,6,4,0.03,10.02,6.25,70
0,110.85,5,2,0,0.64,3.38,3.38,31
0,203.75,9,7,1,0.19,-3.06,-6.53,30
0,91.93,4,3,2,0.24,5.4,5.4,34
0,102.81,7,2,1,0.34,4.16,4.16,46
0,85.1,5,1,0,0.76,2.28,2.28,30
0,99.35,4,3,0,0.67,1.76,1.75,20
0,76.82,4,2,0,0.78,3.37,3.11,21
0,87.45,8,2,0,0.39,3.57,1.65,33
0,108.39,4,3,0,0.36,4.44,1.21,34
0,61.94,6,0,0,0.58,2.53,2.53,24
0,92.59,6,3,0,0.47,3.78,3.78,27
0,65.94,7,0,1,0.28,5.27,5.27,35
0,77.55,8,0,0,0.54,3.86,3.85,29
0,45.23,3,1,0,0.83,-0.33,-3.04,18
0,142.52,9,2,0,0.54,2.53,2.53,29
0,65.54,5,1,1,0.44,5.16,5.16,33
0,137.38,6,6,1,0.2,0.83,-3.0,30
0,122.9,7,2,0,0.61,4.08,0.65,29
0,77.25,5,1,0,0.79,3.14,3.14,23
0,83.28,5,2,0,0.84,0.48,0.48,24
0,107.06,7,1,1,0.37,3.84,3.84,37
0,50.36,2,2,1,0.62,4.82,4.82,27
0,94.58,5,4,0,0.31,2.93,2.14,31
0,77.57,5,2,0,0.48,3.76,1.29,34
0,132.44,8,4,0,0.55,-0.85,-0.86,21
0,75.99,5,2,0,0.49,3.32,3.31,23
0,73.47,5,1,0,0.74,3.53,3.53,25
0,102.99,9,1,1,0.45,4.27,4.27,37
0,90.63,9,1,2,0.11,6.83,5.36,36
0,153.94,8,2,2,0.13,7.63,6.69,47
0,161.63,9,3,1,0.29,0.96,0.96,39
0,353.72,14,9,3,0.07,-5.26,-5.26,66
0,64.64,5,2,1,0.28,5.51,5.51,32
0,59.04,6,0,0,0.56,3.05,3.05,26
0,55.12,1,2,0,0.72,1.19,1.19,12
0,59.06,5,1,1,0.33,6.17,5.62,29
0,53.01,5,1,0,0.78,4.0,3.98,29
0,78.87,4,2,0,0.66,3.01,2.92,24
0,36.44,3,0,0,0.75,3.79,3.72,27
0,46.92,3,1,0,0.94,3.87,3.87,21
0,83.83,5,2,0,0.49,6.59,6.54,30
0,79.29,5,2,0,0.29,-0.21,-0.21,20
0,41.99,2,1,1,0.63,5.13,5.13,24
